cod;nome;período;valor
17;TO;2022;2.17
26;PE;2022;2.43
12;AC;2022;5.32
35;SP;2022;1.46
16;AP;2022;0
15;PA;2022;2.02
33;RJ;2022;2.11
24;RN;2022;1.76
32;ES;2022;2.85
28;SE;2022;1.32
13;AM;2022;5.53
25;PB;2022;2.09
22;PI;2022;2.07
50;MS;2022;4.54
14;RR;2022;23.91
21;MA;2022;1.5
53;DF;2022;1.21
